#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ٤   ;  \u0664 ;    103 ;                       ARABIC-INDIC DIGIT FOUR	  ;  ٤   ;      0	                         ;  ٤   ;      0	                ;  ٤   ;      0	                  ;  ٤   ;      7	                 ;  ٤   ;     12	                  ;  ٤   ;     26	               ;  ٤   ;      0	                    ;  ٤   ;     22	                     ;  ٤   ;      6	               ;  ٤   ;      0	     ;  ٤   ;      0	                   ;  ٤   ;      2	                  ;  ٤   ;      1	                 ;  ٤   ;      1	                  ;  ٤   ;      0	        ;  ٤   ;      0	            ;  ٤   ;      0	           ;  ٤   ;     16	                         ;  ٤   ;      8	          ;  ٤   ;      2	                ;  ٤   ;      0	                  ;  ٤   ;      0	             ;  ٤   ;      0
    ٧   ;  \u0667 ;     74 ;                      ARABIC-INDIC DIGIT SEVEN	  ;  ٧   ;      3	                         ;  ٧   ;      0	                ;  ٧   ;      0	                  ;  ٧   ;      6	                 ;  ٧   ;      5	                  ;  ٧   ;     15	               ;  ٧   ;      0	                    ;  ٧   ;     23	                     ;  ٧   ;      5	               ;  ٧   ;      0	     ;  ٧   ;      0	                   ;  ٧   ;      4	                  ;  ٧   ;      0	                 ;  ٧   ;      1	                  ;  ٧   ;      0	        ;  ٧   ;      0	            ;  ٧   ;      0	           ;  ٧   ;      3	                         ;  ٧   ;      9	          ;  ٧   ;      0	                ;  ٧   ;      0	                  ;  ٧   ;      0	             ;  ٧   ;      0
    /   ;       / ;    191 ;                                       SOLIDUS	  ;  /   ;      0	                         ;  /   ;      1	                ;  /   ;      0	                  ;  /   ;      0	                 ;  /   ;      0	                  ;  /   ;      0	               ;  /   ;     52	                    ;  /   ;     32	                     ;  /   ;     58	               ;  /   ;      0	     ;  /   ;      0	                   ;  /   ;      0	                  ;  /   ;      0	                 ;  /   ;      0	                  ;  /   ;      0	        ;  /   ;      0	            ;  /   ;      0	           ;  /   ;     47	                         ;  /   ;      0	          ;  /   ;      0	                ;  /   ;      0	                  ;  /   ;      0	             ;  /   ;      1
    ٩   ;  \u0669 ;    104 ;                       ARABIC-INDIC DIGIT NINE	  ;  ٩   ;      0	                         ;  ٩   ;      0	                ;  ٩   ;      0	                  ;  ٩   ;      6	                 ;  ٩   ;      8	                  ;  ٩   ;     12	               ;  ٩   ;      0	                    ;  ٩   ;     25	                     ;  ٩   ;      7	               ;  ٩   ;      0	     ;  ٩   ;      0	                   ;  ٩   ;      2	                  ;  ٩   ;      0	                 ;  ٩   ;      0	                  ;  ٩   ;      0	        ;  ٩   ;      0	            ;  ٩   ;      0	           ;  ٩   ;      1	                         ;  ٩   ;     42	          ;  ٩   ;      1	                ;  ٩   ;      0	                  ;  ٩   ;      0	             ;  ٩   ;      0
    ٨   ;  \u0668 ;     86 ;                      ARABIC-INDIC DIGIT EIGHT	  ;  ٨   ;      0	                         ;  ٨   ;      0	                ;  ٨   ;      0	                  ;  ٨   ;      9	                 ;  ٨   ;      3	                  ;  ٨   ;     12	               ;  ٨   ;      0	                    ;  ٨   ;     16	                     ;  ٨   ;      6	               ;  ٨   ;      0	     ;  ٨   ;      0	                   ;  ٨   ;      2	                  ;  ٨   ;      1	                 ;  ٨   ;      0	                  ;  ٨   ;      0	        ;  ٨   ;      0	            ;  ٨   ;      0	           ;  ٨   ;      3	                         ;  ٨   ;     34	          ;  ٨   ;      0	                ;  ٨   ;      0	                  ;  ٨   ;      0	             ;  ٨   ;      0
    x   ;       x ;      4 ;                          LATIN SMALL LETTER X	  ;  x   ;      0	                         ;  x   ;      0	                ;  x   ;      0	                  ;  x   ;      0	                 ;  x   ;      0	                  ;  x   ;      0	               ;  x   ;      0	                    ;  x   ;      0	                     ;  x   ;      0	               ;  x   ;      0	     ;  x   ;      0	                   ;  x   ;      0	                  ;  x   ;      0	                 ;  x   ;      0	                  ;  x   ;      0	        ;  x   ;      0	            ;  x   ;      0	           ;  x   ;      4	                         ;  x   ;      0	          ;  x   ;      0	                ;  x   ;      0	                  ;  x   ;      0	             ;  x   ;      0
    ؑ    ;  \u0611 ;      1 ;                   ARABIC SIGN ALAYHE ASSALLAM	  ;  ؑ    ;      0	                         ;  ؑ    ;      0	                ;  ؑ    ;      0	                  ;  ؑ    ;      0	                 ;  ؑ    ;      0	                  ;  ؑ    ;      0	               ;  ؑ    ;      0	                    ;  ؑ    ;      0	                     ;  ؑ    ;      0	               ;  ؑ    ;      0	     ;  ؑ    ;      0	                   ;  ؑ    ;      0	                  ;  ؑ    ;      0	                 ;  ؑ    ;      0	                  ;  ؑ    ;      0	        ;  ؑ    ;      0	            ;  ؑ    ;      0	           ;  ؑ    ;      0	                         ;  ؑ    ;      0	          ;  ؑ    ;      0	                ;  ؑ    ;      0	                  ;  ؑ    ;      0	             ;  ؑ    ;      1
    ؎   ;  \u060e ;     20 ;                      ARABIC POETIC VERSE SIGN	  ;  ؎   ;      0	                         ;  ؎   ;      0	                ;  ؎   ;      0	                  ;  ؎   ;      0	                 ;  ؎   ;      0	                  ;  ؎   ;      0	               ;  ؎   ;      0	                    ;  ؎   ;      0	                     ;  ؎   ;      0	               ;  ؎   ;      0	     ;  ؎   ;      0	                   ;  ؎   ;      0	                  ;  ؎   ;      0	                 ;  ؎   ;      0	                  ;  ؎   ;      0	        ;  ؎   ;      0	            ;  ؎   ;      0	           ;  ؎   ;      0	                         ;  ؎   ;      0	          ;  ؎   ;      0	                ;  ؎   ;      0	                  ;  ؎   ;      0	             ;  ؎   ;     20
    ﯖ   ;  \ufbd6 ;     12 ;                  ARABIC LETTER NG MEDIAL FORM	  ;  ﯖ   ;      0	                         ;  ﯖ   ;      0	                ;  ﯖ   ;      0	                  ;  ﯖ   ;      0	                 ;  ﯖ   ;      0	                  ;  ﯖ   ;      0	               ;  ﯖ   ;      0	                    ;  ﯖ   ;      0	                     ;  ﯖ   ;      0	               ;  ﯖ   ;      0	     ;  ﯖ   ;      0	                   ;  ﯖ   ;      0	                  ;  ﯖ   ;      9	                 ;  ﯖ   ;      3	                  ;  ﯖ   ;      0	        ;  ﯖ   ;      0	            ;  ﯖ   ;      0	           ;  ﯖ   ;      0	                         ;  ﯖ   ;      0	          ;  ﯖ   ;      0	                ;  ﯖ   ;      0	                  ;  ﯖ   ;      0	             ;  ﯖ   ;      0
    ٥   ;  \u0665 ;    135 ;                       ARABIC-INDIC DIGIT FIVE	  ;  ٥   ;      0	                         ;  ٥   ;      0	                ;  ٥   ;      0	                  ;  ٥   ;      3	                 ;  ٥   ;     15	                  ;  ٥   ;     30	               ;  ٥   ;      0	                    ;  ٥   ;     38	                     ;  ٥   ;      6	               ;  ٥   ;      0	     ;  ٥   ;      0	                   ;  ٥   ;      2	                  ;  ٥   ;      0	                 ;  ٥   ;      2	                  ;  ٥   ;      6	        ;  ٥   ;      0	            ;  ٥   ;      0	           ;  ٥   ;      4	                         ;  ٥   ;     29	          ;  ٥   ;      0	                ;  ٥   ;      0	                  ;  ٥   ;      0	             ;  ٥   ;      0
    ﭖ   ;  \ufb56 ;    191 ;               ARABIC LETTER PEH ISOLATED FORM	  ;  ﭖ   ;      0	                         ;  ﭖ   ;      0	                ;  ﭖ   ;      0	                  ;  ﭖ   ;      0	                 ;  ﭖ   ;      0	                  ;  ﭖ   ;      0	               ;  ﭖ   ;      0	                    ;  ﭖ   ;      0	                     ;  ﭖ   ;      0	               ;  ﭖ   ;      0	     ;  ﭖ   ;      0	                   ;  ﭖ   ;      0	                  ;  ﭖ   ;      9	                 ;  ﭖ   ;      0	                  ;  ﭖ   ;      0	        ;  ﭖ   ;      0	            ;  ﭖ   ;      0	           ;  ﭖ   ;      9	                         ;  ﭖ   ;      0	          ;  ﭖ   ;      1	                ;  ﭖ   ;      0	                  ;  ﭖ   ;     26	             ;  ﭖ   ;    146
    9   ;       9 ;    209 ;                                    DIGIT NINE	  ;  9   ;      1	                         ;  9   ;      0	                ;  9   ;      0	                  ;  9   ;      0	                 ;  9   ;      0	                  ;  9   ;      0	               ;  9   ;     62	                    ;  9   ;      0	                     ;  9   ;     69	               ;  9   ;     17	     ;  9   ;      0	                   ;  9   ;      0	                  ;  9   ;      0	                 ;  9   ;      0	                  ;  9   ;      0	        ;  9   ;      0	            ;  9   ;     11	           ;  9   ;      0	                         ;  9   ;      0	          ;  9   ;      0	                ;  9   ;     42	                  ;  9   ;      1	             ;  9   ;      6
    ﮒ   ;  \ufb92 ;    108 ;               ARABIC LETTER GAF ISOLATED FORM	  ;  ﮒ   ;      0	                         ;  ﮒ   ;      0	                ;  ﮒ   ;      0	                  ;  ﮒ   ;      0	                 ;  ﮒ   ;      0	                  ;  ﮒ   ;      0	               ;  ﮒ   ;      0	                    ;  ﮒ   ;      0	                     ;  ﮒ   ;      0	               ;  ﮒ   ;      0	     ;  ﮒ   ;      0	                   ;  ﮒ   ;      0	                  ;  ﮒ   ;      0	                 ;  ﮒ   ;      0	                  ;  ﮒ   ;      1	        ;  ﮒ   ;      0	            ;  ﮒ   ;      2	           ;  ﮒ   ;     27	                         ;  ﮒ   ;      0	          ;  ﮒ   ;      7	                ;  ﮒ   ;      8	                  ;  ﮒ   ;     12	             ;  ﮒ   ;     51
    0   ;       0 ;    234 ;                                    DIGIT ZERO	  ;  0   ;      0	                         ;  0   ;      0	                ;  0   ;      0	                  ;  0   ;      0	                 ;  0   ;      0	                  ;  0   ;      0	               ;  0   ;     56	                    ;  0   ;      0	                     ;  0   ;     85	               ;  0   ;     32	     ;  0   ;      0	                   ;  0   ;      1	                  ;  0   ;      1	                 ;  0   ;      0	                  ;  0   ;      0	        ;  0   ;      0	            ;  0   ;      7	           ;  0   ;      0	                         ;  0   ;      0	          ;  0   ;      0	                ;  0   ;     40	                  ;  0   ;      1	             ;  0   ;     11
    f   ;       f ;     25 ;                          LATIN SMALL LETTER F	  ;  f   ;      0	                         ;  f   ;      0	                ;  f   ;      0	                  ;  f   ;      0	                 ;  f   ;      0	                  ;  f   ;      0	               ;  f   ;      0	                    ;  f   ;      0	                     ;  f   ;      0	               ;  f   ;      0	     ;  f   ;      0	                   ;  f   ;      0	                  ;  f   ;      0	                 ;  f   ;      0	                  ;  f   ;      0	        ;  f   ;      0	            ;  f   ;     25	           ;  f   ;      0	                         ;  f   ;      0	          ;  f   ;      0	                ;  f   ;      0	                  ;  f   ;      0	             ;  f   ;      0
    b   ;       b ;      9 ;                          LATIN SMALL LETTER B	  ;  b   ;      0	                         ;  b   ;      0	                ;  b   ;      0	                  ;  b   ;      0	                 ;  b   ;      0	                  ;  b   ;      0	               ;  b   ;      0	                    ;  b   ;      0	                     ;  b   ;      0	               ;  b   ;      0	     ;  b   ;      0	                   ;  b   ;      0	                  ;  b   ;      0	                 ;  b   ;      0	                  ;  b   ;      0	        ;  b   ;      0	            ;  b   ;      9	           ;  b   ;      0	                         ;  b   ;      0	          ;  b   ;      0	                ;  b   ;      0	                  ;  b   ;      0	             ;  b   ;      0
    ,   ;       , ;     36 ;                                         COMMA	  ;  ,   ;      0	                         ;  ,   ;      0	                ;  ,   ;      0	                  ;  ,   ;      0	                 ;  ,   ;      0	                  ;  ,   ;      0	               ;  ,   ;      0	                    ;  ,   ;      0	                     ;  ,   ;      1	               ;  ,   ;      0	     ;  ,   ;      0	                   ;  ,   ;      0	                  ;  ,   ;      0	                 ;  ,   ;      0	                  ;  ,   ;      0	        ;  ,   ;      0	            ;  ,   ;     35	           ;  ,   ;      0	                         ;  ,   ;      0	          ;  ,   ;      0	                ;  ,   ;      0	                  ;  ,   ;      0	             ;  ,   ;      0
    ﯔ   ;  \ufbd4 ;    123 ;                   ARABIC LETTER NG FINAL FORM	  ;  ﯔ   ;      0	                         ;  ﯔ   ;      0	                ;  ﯔ   ;      0	                  ;  ﯔ   ;      0	                 ;  ﯔ   ;      0	                  ;  ﯔ   ;      0	               ;  ﯔ   ;      0	                    ;  ﯔ   ;      0	                     ;  ﯔ   ;      0	               ;  ﯔ   ;      0	     ;  ﯔ   ;      0	                   ;  ﯔ   ;      0	                  ;  ﯔ   ;     91	                 ;  ﯔ   ;     32	                  ;  ﯔ   ;      0	        ;  ﯔ   ;      0	            ;  ﯔ   ;      0	           ;  ﯔ   ;      0	                         ;  ﯔ   ;      0	          ;  ﯔ   ;      0	                ;  ﯔ   ;      0	                  ;  ﯔ   ;      0	             ;  ﯔ   ;      0
    ﯕ   ;  \ufbd5 ;      6 ;                 ARABIC LETTER NG INITIAL FORM	  ;  ﯕ   ;      0	                         ;  ﯕ   ;      0	                ;  ﯕ   ;      0	                  ;  ﯕ   ;      0	                 ;  ﯕ   ;      0	                  ;  ﯕ   ;      0	               ;  ﯕ   ;      0	                    ;  ﯕ   ;      0	                     ;  ﯕ   ;      0	               ;  ﯕ   ;      0	     ;  ﯕ   ;      0	                   ;  ﯕ   ;      0	                  ;  ﯕ   ;      4	                 ;  ﯕ   ;      2	                  ;  ﯕ   ;      0	        ;  ﯕ   ;      0	            ;  ﯕ   ;      0	           ;  ﯕ   ;      0	                         ;  ﯕ   ;      0	          ;  ﯕ   ;      0	                ;  ﯕ   ;      0	                  ;  ﯕ   ;      0	             ;  ﯕ   ;      0
    ﭗ   ;  \ufb57 ;     88 ;                  ARABIC LETTER PEH FINAL FORM	  ;  ﭗ   ;      0	                         ;  ﭗ   ;      0	                ;  ﭗ   ;      0	                  ;  ﭗ   ;      0	                 ;  ﭗ   ;      0	                  ;  ﭗ   ;      0	               ;  ﭗ   ;      0	                    ;  ﭗ   ;      0	                     ;  ﭗ   ;      0	               ;  ﭗ   ;      0	     ;  ﭗ   ;      0	                   ;  ﭗ   ;      0	                  ;  ﭗ   ;     12	                 ;  ﭗ   ;      0	                  ;  ﭗ   ;      0	        ;  ﭗ   ;      0	            ;  ﭗ   ;      0	           ;  ﭗ   ;     33	                         ;  ﭗ   ;      0	          ;  ﭗ   ;     19	                ;  ﭗ   ;      2	                  ;  ﭗ   ;      5	             ;  ﭗ   ;     17
    \=   ;       \= ;      4 ;                                   EQUALS SIGN	  ;  \=   ;      0	                         ;  \=   ;      0	                ;  \=   ;      0	                  ;  \=   ;      0	                 ;  \=   ;      0	                  ;  \=   ;      0	               ;  \=   ;      0	                    ;  \=   ;      4	                     ;  \=   ;      0	               ;  \=   ;      0	     ;  \=   ;      0	                   ;  \=   ;      0	                  ;  \=   ;      0	                 ;  \=   ;      0	                  ;  \=   ;      0	        ;  \=   ;      0	            ;  \=   ;      0	           ;  \=   ;      0	                         ;  \=   ;      0	          ;  \=   ;      0	                ;  \=   ;      0	                  ;  \=   ;      0	             ;  \=   ;      0
    ﯓ   ;  \ufbd3 ;     24 ;                ARABIC LETTER NG ISOLATED FORM	  ;  ﯓ   ;      0	                         ;  ﯓ   ;      0	                ;  ﯓ   ;      0	                  ;  ﯓ   ;      0	                 ;  ﯓ   ;      0	                  ;  ﯓ   ;      0	               ;  ﯓ   ;      0	                    ;  ﯓ   ;      0	                     ;  ﯓ   ;      0	               ;  ﯓ   ;      0	     ;  ﯓ   ;      0	                   ;  ﯓ   ;      0	                  ;  ﯓ   ;     19	                 ;  ﯓ   ;      5	                  ;  ﯓ   ;      0	        ;  ﯓ   ;      0	            ;  ﯓ   ;      0	           ;  ﯓ   ;      0	                         ;  ﯓ   ;      0	          ;  ﯓ   ;      0	                ;  ﯓ   ;      0	                  ;  ﯓ   ;      0	             ;  ﯓ   ;      0
    O   ;       O ;     14 ;                        LATIN CAPITAL LETTER O	  ;  O   ;      0	                         ;  O   ;      0	                ;  O   ;      0	                  ;  O   ;      0	                 ;  O   ;      0	                  ;  O   ;      0	               ;  O   ;      0	                    ;  O   ;      0	                     ;  O   ;      0	               ;  O   ;      0	     ;  O   ;      0	                   ;  O   ;      0	                  ;  O   ;      0	                 ;  O   ;      0	                  ;  O   ;      0	        ;  O   ;      0	            ;  O   ;     14	           ;  O   ;      0	                         ;  O   ;      0	          ;  O   ;      0	                ;  O   ;      0	                  ;  O   ;      0	             ;  O   ;      0
    r   ;       r ;     21 ;                          LATIN SMALL LETTER R	  ;  r   ;      0	                         ;  r   ;      0	                ;  r   ;      0	                  ;  r   ;      0	                 ;  r   ;      0	                  ;  r   ;      0	               ;  r   ;      0	                    ;  r   ;      0	                     ;  r   ;      2	               ;  r   ;      0	     ;  r   ;      0	                   ;  r   ;      0	                  ;  r   ;      0	                 ;  r   ;      0	                  ;  r   ;      0	        ;  r   ;      0	            ;  r   ;     17	           ;  r   ;      0	                         ;  r   ;      0	          ;  r   ;      0	                ;  r   ;      0	                  ;  r   ;      0	             ;  r   ;      2
    a   ;       a ;     26 ;                          LATIN SMALL LETTER A	  ;  a   ;      0	                         ;  a   ;      0	                ;  a   ;      0	                  ;  a   ;      0	                 ;  a   ;      0	                  ;  a   ;      0	               ;  a   ;      0	                    ;  a   ;      0	                     ;  a   ;      4	               ;  a   ;      0	     ;  a   ;      0	                   ;  a   ;      0	                  ;  a   ;      0	                 ;  a   ;      0	                  ;  a   ;      0	        ;  a   ;      0	            ;  a   ;     18	           ;  a   ;      0	                         ;  a   ;      0	          ;  a   ;      0	                ;  a   ;      0	                  ;  a   ;      0	             ;  a   ;      4
    }   ;       } ;     46 ;                           RIGHT CURLY BRACKET	  ;  }   ;      0	                         ;  }   ;      3	                ;  }   ;      3	                  ;  }   ;      0	                 ;  }   ;      0	                  ;  }   ;      0	               ;  }   ;      0	                    ;  }   ;      0	                     ;  }   ;      0	               ;  }   ;      0	     ;  }   ;     16	                   ;  }   ;     12	                  ;  }   ;     12	                 ;  }   ;      0	                  ;  }   ;      0	        ;  }   ;      0	            ;  }   ;      0	           ;  }   ;      0	                         ;  }   ;      0	          ;  }   ;      0	                ;  }   ;      0	                  ;  }   ;      0	             ;  }   ;      0
    ؐ    ;  \u0610 ;      2 ;      ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM	  ;  ؐ    ;      0	                         ;  ؐ    ;      0	                ;  ؐ    ;      0	                  ;  ؐ    ;      0	                 ;  ؐ    ;      0	                  ;  ؐ    ;      0	               ;  ؐ    ;      0	                    ;  ؐ    ;      0	                     ;  ؐ    ;      0	               ;  ؐ    ;      0	     ;  ؐ    ;      0	                   ;  ؐ    ;      0	                  ;  ؐ    ;      0	                 ;  ؐ    ;      0	                  ;  ؐ    ;      0	        ;  ؐ    ;      0	            ;  ؐ    ;      0	           ;  ؐ    ;      0	                         ;  ؐ    ;      0	          ;  ؐ    ;      0	                ;  ؐ    ;      0	                  ;  ؐ    ;      1	             ;  ؐ    ;      1
    ‘   ;  \u2018 ;      4 ;                    LEFT SINGLE QUOTATION MARK	  ;  ‘   ;      0	                         ;  ‘   ;      0	                ;  ‘   ;      0	                  ;  ‘   ;      0	                 ;  ‘   ;      0	                  ;  ‘   ;      0	               ;  ‘   ;      0	                    ;  ‘   ;      0	                     ;  ‘   ;      0	               ;  ‘   ;      0	     ;  ‘   ;      0	                   ;  ‘   ;      0	                  ;  ‘   ;      0	                 ;  ‘   ;      0	                  ;  ‘   ;      0	        ;  ‘   ;      0	            ;  ‘   ;      0	           ;  ‘   ;      0	                         ;  ‘   ;      0	          ;  ‘   ;      0	                ;  ‘   ;      0	                  ;  ‘   ;      0	             ;  ‘   ;      4
    |   ;       | ;      9 ;                                 VERTICAL LINE	  ;  |   ;      0	                         ;  |   ;      0	                ;  |   ;      0	                  ;  |   ;      1	                 ;  |   ;      0	                  ;  |   ;      0	               ;  |   ;      0	                    ;  |   ;      0	                     ;  |   ;      0	               ;  |   ;      0	     ;  |   ;      0	                   ;  |   ;      6	                  ;  |   ;      0	                 ;  |   ;      0	                  ;  |   ;      0	        ;  |   ;      0	            ;  |   ;      0	           ;  |   ;      0	                         ;  |   ;      2	          ;  |   ;      0	                ;  |   ;      0	                  ;  |   ;      0	             ;  |   ;      0
    ٗ    ;  \u0657 ;      2 ;                         ARABIC INVERTED DAMMA	  ;  ٗ    ;      0	                         ;  ٗ    ;      0	                ;  ٗ    ;      0	                  ;  ٗ    ;      0	                 ;  ٗ    ;      0	                  ;  ٗ    ;      0	               ;  ٗ    ;      0	                    ;  ٗ    ;      0	                     ;  ٗ    ;      0	               ;  ٗ    ;      0	     ;  ٗ    ;      0	                   ;  ٗ    ;      0	                  ;  ٗ    ;      0	                 ;  ٗ    ;      0	                  ;  ٗ    ;      0	        ;  ٗ    ;      0	            ;  ٗ    ;      0	           ;  ٗ    ;      0	                         ;  ٗ    ;      0	          ;  ٗ    ;      0	                ;  ٗ    ;      0	                  ;  ٗ    ;      0	             ;  ٗ    ;      2
    ﭦ   ;  \ufb66 ;     45 ;              ARABIC LETTER TTEH ISOLATED FORM	  ;  ﭦ   ;      0	                         ;  ﭦ   ;      0	                ;  ﭦ   ;      0	                  ;  ﭦ   ;      0	                 ;  ﭦ   ;      0	                  ;  ﭦ   ;      0	               ;  ﭦ   ;      0	                    ;  ﭦ   ;      0	                     ;  ﭦ   ;      0	               ;  ﭦ   ;      0	     ;  ﭦ   ;      0	                   ;  ﭦ   ;      0	                  ;  ﭦ   ;      0	                 ;  ﭦ   ;      0	                  ;  ﭦ   ;      0	        ;  ﭦ   ;      0	            ;  ﭦ   ;      0	           ;  ﭦ   ;      0	                         ;  ﭦ   ;      0	          ;  ﭦ   ;      0	                ;  ﭦ   ;      0	                  ;  ﭦ   ;      7	             ;  ﭦ   ;     38
    G   ;       G ;      2 ;                        LATIN CAPITAL LETTER G	  ;  G   ;      0	                         ;  G   ;      0	                ;  G   ;      0	                  ;  G   ;      0	                 ;  G   ;      0	                  ;  G   ;      0	               ;  G   ;      0	                    ;  G   ;      0	                     ;  G   ;      1	               ;  G   ;      0	     ;  G   ;      0	                   ;  G   ;      0	                  ;  G   ;      0	                 ;  G   ;      0	                  ;  G   ;      0	        ;  G   ;      0	            ;  G   ;      1	           ;  G   ;      0	                         ;  G   ;      0	          ;  G   ;      0	                ;  G   ;      0	                  ;  G   ;      0	             ;  G   ;      0
    e   ;       e ;     11 ;                          LATIN SMALL LETTER E	  ;  e   ;      0	                         ;  e   ;      0	                ;  e   ;      0	                  ;  e   ;      0	                 ;  e   ;      0	                  ;  e   ;      0	               ;  e   ;      0	                    ;  e   ;      0	                     ;  e   ;      3	               ;  e   ;      0	     ;  e   ;      0	                   ;  e   ;      0	                  ;  e   ;      0	                 ;  e   ;      0	                  ;  e   ;      0	        ;  e   ;      0	            ;  e   ;      6	           ;  e   ;      0	                         ;  e   ;      0	          ;  e   ;      0	                ;  e   ;      0	                  ;  e   ;      0	             ;  e   ;      2
    l   ;       l ;      7 ;                          LATIN SMALL LETTER L	  ;  l   ;      0	                         ;  l   ;      0	                ;  l   ;      0	                  ;  l   ;      0	                 ;  l   ;      0	                  ;  l   ;      0	               ;  l   ;      0	                    ;  l   ;      0	                     ;  l   ;      3	               ;  l   ;      0	     ;  l   ;      0	                   ;  l   ;      0	                  ;  l   ;      0	                 ;  l   ;      0	                  ;  l   ;      0	        ;  l   ;      0	            ;  l   ;      2	           ;  l   ;      0	                         ;  l   ;      0	          ;  l   ;      0	                ;  l   ;      0	                  ;  l   ;      0	             ;  l   ;      2
    n   ;       n ;      5 ;                          LATIN SMALL LETTER N	  ;  n   ;      0	                         ;  n   ;      0	                ;  n   ;      0	                  ;  n   ;      0	                 ;  n   ;      0	                  ;  n   ;      0	               ;  n   ;      0	                    ;  n   ;      0	                     ;  n   ;      3	               ;  n   ;      0	     ;  n   ;      0	                   ;  n   ;      0	                  ;  n   ;      0	                 ;  n   ;      0	                  ;  n   ;      0	        ;  n   ;      0	            ;  n   ;      2	           ;  n   ;      0	                         ;  n   ;      0	          ;  n   ;      0	                ;  n   ;      0	                  ;  n   ;      0	             ;  n   ;      0
    s   ;       s ;      2 ;                          LATIN SMALL LETTER S	  ;  s   ;      0	                         ;  s   ;      0	                ;  s   ;      0	                  ;  s   ;      0	                 ;  s   ;      0	                  ;  s   ;      0	               ;  s   ;      0	                    ;  s   ;      0	                     ;  s   ;      1	               ;  s   ;      0	     ;  s   ;      0	                   ;  s   ;      0	                  ;  s   ;      0	                 ;  s   ;      0	                  ;  s   ;      0	        ;  s   ;      0	            ;  s   ;      0	           ;  s   ;      0	                         ;  s   ;      0	          ;  s   ;      0	                ;  s   ;      0	                  ;  s   ;      0	             ;  s   ;      1
    S   ;       S ;      2 ;                        LATIN CAPITAL LETTER S	  ;  S   ;      0	                         ;  S   ;      0	                ;  S   ;      0	                  ;  S   ;      0	                 ;  S   ;      0	                  ;  S   ;      0	               ;  S   ;      0	                    ;  S   ;      0	                     ;  S   ;      2	               ;  S   ;      0	     ;  S   ;      0	                   ;  S   ;      0	                  ;  S   ;      0	                 ;  S   ;      0	                  ;  S   ;      0	        ;  S   ;      0	            ;  S   ;      0	           ;  S   ;      0	                         ;  S   ;      0	          ;  S   ;      0	                ;  S   ;      0	                  ;  S   ;      0	             ;  S   ;      0
    m   ;       m ;      2 ;                          LATIN SMALL LETTER M	  ;  m   ;      0	                         ;  m   ;      0	                ;  m   ;      0	                  ;  m   ;      0	                 ;  m   ;      0	                  ;  m   ;      0	               ;  m   ;      0	                    ;  m   ;      0	                     ;  m   ;      1	               ;  m   ;      0	     ;  m   ;      0	                   ;  m   ;      0	                  ;  m   ;      0	                 ;  m   ;      0	                  ;  m   ;      0	        ;  m   ;      0	            ;  m   ;      1	           ;  m   ;      0	                         ;  m   ;      0	          ;  m   ;      0	                ;  m   ;      0	                  ;  m   ;      0	             ;  m   ;      0
    I   ;       I ;      6 ;                        LATIN CAPITAL LETTER I	  ;  I   ;      0	                         ;  I   ;      0	                ;  I   ;      0	                  ;  I   ;      0	                 ;  I   ;      0	                  ;  I   ;      0	               ;  I   ;      0	                    ;  I   ;      0	                     ;  I   ;      1	               ;  I   ;      0	     ;  I   ;      0	                   ;  I   ;      0	                  ;  I   ;      0	                 ;  I   ;      0	                  ;  I   ;      0	        ;  I   ;      0	            ;  I   ;      5	           ;  I   ;      0	                         ;  I   ;      0	          ;  I   ;      0	                ;  I   ;      0	                  ;  I   ;      0	             ;  I   ;      0
    A   ;       A ;     11 ;                        LATIN CAPITAL LETTER A	  ;  A   ;      0	                         ;  A   ;      0	                ;  A   ;      0	                  ;  A   ;      0	                 ;  A   ;      0	                  ;  A   ;      0	               ;  A   ;      0	                    ;  A   ;      0	                     ;  A   ;      2	               ;  A   ;      0	     ;  A   ;      0	                   ;  A   ;      0	                  ;  A   ;      0	                 ;  A   ;      0	                  ;  A   ;      0	        ;  A   ;      0	            ;  A   ;      9	           ;  A   ;      0	                         ;  A   ;      0	          ;  A   ;      0	                ;  A   ;      0	                  ;  A   ;      0	             ;  A   ;      0
